form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
mizo001,no_stem,1.sg,kěimàɁ,kěimàɁ,kěi+màɁ,k ei ¹⁵ m a ¹ ʔ,k ei ¹⁵ + m a ¹ ʔ,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo002,no_stem,1.sg,kěi,kěi,kěi,k ei ¹⁵,k ei ¹⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo003,no_stem,1.pl,kěimàɁnî,kěimàɁnî,kěi+màɁ+nî,k ei ¹⁵ m a ¹ ʔ n i ⁵¹,k ei ¹⁵ + m a ¹ ʔ + n i ⁵¹,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo004,no_stem,1.pl,kèinî,kèinî,kèi+nî,k ei ¹ n i ⁵¹,k ei ¹ + n i ⁵¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo005,no_stem,2.sg,nǎŋmàɁ,nǎŋmàɁ,nǎŋ+màɁ,n a ¹⁵ ŋ m a ¹ ʔ,n a ¹⁵ ŋ + m a ¹ ʔ,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo006,no_stem,2.sg,nǎŋ,nǎŋ,nǎŋ,n a ¹⁵ ŋ,n a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo007,no_stem,2.pl,nǎŋmàɁnî,nǎŋmàɁnî,nǎŋ+màɁ+nî,n a ¹⁵ ŋ m a ¹ ʔ n i ⁵¹,n a ¹⁵ ŋ + m a ¹ ʔ + n i ⁵¹,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo008,no_stem,2.pl,nàŋnî,nàŋnî,nàŋ+nî,n a ¹ ŋ n i ⁵¹,n a ¹ ŋ + n i ⁵¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo009,no_stem,3.sg,ámàɁ,ámàɁ,á+màɁ,a ⁵ m a ¹ ʔ,a ⁵ + m a ¹ ʔ,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo010,no_stem,3.sg,ánî,ánî,á+nî,a ⁵ n i ⁵¹,a ⁵ + n i ⁵¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo011,no_stem,3.pl,ǎnmàɁnî,ǎnmàɁnî,ǎn+màɁ+nî,a ¹⁵ n m a ¹ ʔ n i ⁵¹,a ¹⁵ n + m a ¹ ʔ + n i ⁵¹,pragm_marked,Lalhminghlui2026Mizo,nopage,mizo
mizo012,no_stem,3.pl,ànnî,ànnî,àn+nî,a ¹ n n i ⁵¹,a ¹ n + n i ⁵¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo013,kal,1.sg.fut.aff,kà kál ǎŋ,kà Σ ǎŋ,kà+Σ+ǎŋ,k a ¹ Σ a ¹⁵ ŋ,k a ¹ + Σ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
