morph_id,morph,position,in_cells,in_forms,language_id
mizoM01,a ¹,pre,3.sg.fut.aff; 3.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.sg.nfut.aff; 3.pl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.sg.nfut.neg; 3.pl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,mizo055; mizo057; mizo069; mizo071; mizo073; mizo075; mizo077; mizo079; mizo081; mizo083; mizo127; mizo129; mizo141; mizo143; mizo145; mizo147; mizo149; mizo151; mizo153; mizo155; mizo199; mizo201; mizo213; mizo215; mizo217; mizo219; mizo221; mizo223; mizo225; mizo227; mizo271; mizo273; mizo285; mizo287; mizo289; mizo291; mizo293; mizo295; mizo297; mizo299,mizo
mizoM02,a ¹ n,free,3.pl,mizo012,mizo
mizoM03,a ¹ ŋ,post,1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 1.sg.2.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.2.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg,mizo017; mizo018; mizo019; mizo020; mizo021; mizo022; mizo023; mizo024; mizo069; mizo070; mizo071; mizo072; mizo073; mizo074; mizo075; mizo076; mizo089; mizo090; mizo091; mizo093; mizo095; mizo096; mizo097; mizo098; mizo141; mizo142; mizo143; mizo144; mizo145; mizo146; mizo147; mizo148,mizo
mizoM04,a ¹⁵,pre,3.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,mizo058; mizo074; mizo076; mizo082; mizo084; mizo130; mizo146; mizo148; mizo154; mizo156; mizo202; mizo218; mizo220; mizo226; mizo228; mizo274; mizo290; mizo292; mizo298; mizo300,mizo
mizoM05,a ¹⁵ n,free,3.pl,mizo011,mizo
mizoM06,a ¹⁵ ŋ,post,1.sg.fut.aff; 1.sg.fut.aff; 1.pl.fut.aff; 1.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 1.pl.3.pl.fut.aff; 2.sg.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.fut.neg; 1.sg.fut.neg; 1.pl.fut.neg; 1.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg,mizo013; mizo014; mizo015; mizo016; mizo025; mizo026; mizo027; mizo028; mizo029; mizo030; mizo031; mizo032; mizo033; mizo034; mizo035; mizo036; mizo037; mizo038; mizo039; mizo040; mizo041; mizo042; mizo043; mizo044; mizo045; mizo046; mizo047; mizo048; mizo049; mizo050; mizo051; mizo052; mizo053; mizo054; mizo055; mizo056; mizo057; mizo058; mizo059; mizo060; mizo061; mizo062; mizo063; mizo064; mizo065; mizo066; mizo067; mizo068; mizo077; mizo078; mizo079; mizo080; mizo081; mizo082; mizo083; mizo084; mizo085; mizo086; mizo087; mizo088; mizo092; mizo094; mizo099; mizo100; mizo101; mizo102; mizo103; mizo104; mizo105; mizo106; mizo107; mizo108; mizo109; mizo110; mizo111; mizo112; mizo113; mizo114; mizo115; mizo116; mizo117; mizo118; mizo119; mizo120; mizo121; mizo122; mizo123; mizo124; mizo125; mizo126; mizo127; mizo128; mizo129; mizo130; mizo131; mizo132; mizo133; mizo134; mizo135; mizo136; mizo137; mizo138; mizo139; mizo140; mizo149; mizo150; mizo151; mizo152; mizo153; mizo154; mizo155; mizo156,mizo
mizoM07,a ⁵,free,3.sg; 3.sg,mizo009; mizo010,mizo
mizoM08,a ⁵,pre,3.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.sg.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg,mizo056; mizo070; mizo072; mizo078; mizo080; mizo128; mizo142; mizo144; mizo150; mizo152; mizo200; mizo214; mizo216; mizo222; mizo224; mizo272; mizo286; mizo288; mizo294; mizo296,mizo
mizoM09,i ¹,pre,2.sg.fut.aff; 2.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.sg.nfut.aff; 2.pl.nfut.aff; 2.sg.3.sg.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.pl.nfut.aff; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg,mizo033; mizo035; mizo047; mizo049; mizo051; mizo053; mizo105; mizo107; mizo119; mizo121; mizo123; mizo125; mizo177; mizo179; mizo191; mizo193; mizo195; mizo197; mizo249; mizo251; mizo263; mizo265; mizo267; mizo269,mizo
mizoM10,i ¹⁵,pre,2.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.pl.nfut.aff; 2.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg,mizo036; mizo052; mizo054; mizo108; mizo124; mizo126; mizo180; mizo196; mizo198; mizo252; mizo268; mizo270,mizo
